Date,Open,High,Low,Close,Volume,Code
2018-02-08,53.020000,54.299999,52.570000,52.590000,3938100,AEE
2018-02-09,53.070000,55.720001,53.049999,55.419998,4565100,AEE
2018-02-12,55.419998,55.439999,54.490002,55.070000,1789100,AEE
2018-02-13,54.849998,55.450001,54.320000,55.250000,1201100,AEE
2018-02-14,54.889999,55.270000,54.360001,54.680000,1410100,AEE
2018-02-15,54.869999,56.270000,54.770000,56.259998,2539100,AEE
2018-02-16,56.400002,56.849998,55.669998,56.320000,2605600,AEE
2018-02-20,56.020000,56.270000,54.799999,55.080002,2336500,AEE
2018-02-21,55.029999,55.450001,54.380001,54.400002,1740300,AEE
2018-02-22,54.680000,55.320000,54.230000,54.590000,1655200,AEE
2018-02-23,54.700001,56.389999,54.630001,56.349998,1993800,AEE
2018-02-26,56.380001,56.459999,55.380001,55.750000,1448200,AEE
2018-02-27,55.930000,56.299999,54.799999,54.889999,1838900,AEE
2018-02-28,55.119999,55.240002,54.279999,54.299999,1849300,AEE
2018-03-01,54.279999,54.840000,53.680000,53.959999,1844600,AEE
2018-03-02,54.049999,54.619999,53.470001,54.029999,1444500,AEE
2018-03-05,53.939999,55.320000,53.680000,55.119999,1915100,AEE
2018-03-06,55.020000,55.020000,53.869999,53.939999,1719600,AEE
2018-03-07,53.770000,54.000000,53.080002,53.580002,1800600,AEE
2018-03-08,53.840000,54.080002,53.580002,53.860001,1030300,AEE
2018-03-09,53.820000,54.060001,53.430000,53.990002,2056400,AEE
2018-03-12,54.150002,54.599998,54.099998,54.410000,1559000,AEE
2018-03-13,54.139999,54.650002,53.880001,54.090000,1603000,AEE
2018-03-14,54.220001,54.869999,54.189999,54.630001,2063000,AEE
2018-03-15,54.660000,55.430000,54.529999,54.770000,1513900,AEE
2018-03-16,54.880001,55.639999,54.869999,55.490002,2834400,AEE
2018-03-19,55.480000,55.790001,54.930000,55.200001,1135100,AEE
2018-03-20,55.279999,55.540001,54.990002,55.130001,975800,AEE
2018-03-21,55.270000,55.889999,54.770000,54.900002,1126700,AEE
2018-03-22,54.880001,55.959999,54.720001,54.919998,1237700,AEE
2018-03-23,55.080002,55.509998,53.910000,54.009998,1240700,AEE
2018-03-26,54.299999,54.950001,54.099998,54.849998,1328900,AEE
2018-03-27,55.070000,56.669998,54.770000,55.880001,1787500,AEE
2018-03-28,56.070000,56.509998,55.790001,55.939999,1322800,AEE
2018-03-29,55.970001,56.790001,55.970001,56.630001,2023800,AEE
2018-04-02,57.080002,57.660000,56.220001,56.689999,2217700,AEE
2018-04-03,56.610001,57.459999,56.290001,57.139999,2083100,AEE
2018-04-04,56.919998,57.080002,56.150002,56.810001,2216600,AEE
2018-04-05,56.889999,57.650002,56.500000,57.439999,3252900,AEE
2018-04-06,57.529999,57.919998,56.860001,57.130001,2826100,AEE
2018-04-09,57.119999,57.549999,56.700001,56.959999,1366900,AEE
2018-04-10,57.009998,57.119999,56.180000,56.200001,1294000,AEE
2018-04-11,56.150002,56.419998,55.730000,56.009998,1246200,AEE
2018-04-12,56.049999,56.180000,55.009998,55.330002,1128400,AEE
2018-04-13,55.580002,55.830002,55.259998,55.509998,1585500,AEE
2018-04-16,55.689999,56.490002,55.669998,56.360001,1651500,AEE
2018-04-17,56.419998,57.150002,56.240002,56.889999,1242900,AEE
2018-04-18,57.060001,57.490002,56.529999,56.560001,1277900,AEE
2018-04-19,56.400002,56.910000,56.320000,56.849998,885400,AEE
2018-04-20,56.730000,56.730000,56.029999,56.270000,1007700,AEE
2018-04-23,56.490002,57.160000,56.299999,56.630001,1487500,AEE
2018-04-24,56.540001,57.560001,56.500000,57.200001,1678500,AEE
2018-04-25,57.090000,57.750000,56.799999,57.209999,1208000,AEE
2018-04-26,57.230000,57.959999,56.950001,57.869999,895900,AEE
2018-04-27,57.740002,58.720001,57.730000,58.599998,1226500,AEE
2018-04-30,58.770000,58.950001,58.439999,58.619999,1504500,AEE
2018-05-01,58.660000,58.840000,58.279999,58.330002,1177900,AEE
2018-05-02,58.330002,58.680000,58.020000,58.380001,874300,AEE
2018-05-03,58.279999,58.930000,57.650002,58.740002,918400,AEE
2018-05-04,58.810001,59.180000,58.680000,58.900002,808600,AEE
2018-05-07,58.880001,58.980000,58.439999,58.540001,1053500,AEE
2018-05-08,58.250000,58.320000,56.750000,56.910000,1751800,AEE
2018-05-09,57.759998,57.770000,56.080002,56.220001,1818300,AEE
2018-05-10,56.680000,56.720001,56.070000,56.340000,1540800,AEE
2018-05-11,56.430000,57.029999,56.320000,56.869999,1674100,AEE
2018-05-14,56.980000,57.060001,56.080002,56.590000,1447100,AEE
2018-05-15,56.320000,56.669998,56.080002,56.419998,1768800,AEE
2018-05-16,56.410000,56.580002,55.820000,55.939999,1593700,AEE
2018-05-17,56.009998,56.259998,55.720001,55.840000,1604700,AEE
2018-05-18,55.950001,56.509998,55.799999,56.259998,1662400,AEE
2018-05-21,56.299999,56.480000,55.799999,56.340000,980100,AEE
2018-05-22,57.459999,57.459999,56.009998,56.700001,1205800,AEE
2018-05-23,57.070000,57.930000,57.020000,57.889999,2572300,AEE
2018-05-24,58.299999,59.230000,58.110001,58.779999,2021300,AEE
