Date,Open,High,Low,Close,Volume,Code
2018-02-08,73.959999,74.559998,71.500000,71.510002,2730000,ZTS
2018-02-09,72.230003,72.879997,70.199997,72.349998,3296500,ZTS
2018-02-12,72.940002,74.040001,72.599998,73.190002,3828000,ZTS
2018-02-13,73.110001,73.790001,72.959999,73.239998,2416200,ZTS
2018-02-14,72.790001,74.570000,72.779999,74.459999,2947800,ZTS
2018-02-15,79.260002,81.400002,75.750000,78.500000,6022200,ZTS
2018-02-16,78.150002,80.080002,78.150002,79.730003,3921100,ZTS
2018-02-20,79.209999,81.470001,79.070000,80.349998,3646700,ZTS
2018-02-21,80.370003,81.779999,80.309998,80.500000,3403100,ZTS
2018-02-22,81.029999,81.680000,80.510002,80.760002,2417700,ZTS
2018-02-23,81.169998,82.930000,81.000000,82.790001,2697200,ZTS
2018-02-26,83.459999,83.459999,82.790001,83.300003,2211700,ZTS
2018-02-27,83.010002,83.370003,81.610001,81.669998,2240900,ZTS
2018-02-28,81.879997,82.480003,80.839996,80.860001,1968200,ZTS
2018-03-01,80.860001,81.570000,79.830002,80.440002,3010300,ZTS
2018-03-02,79.930000,81.500000,79.860001,81.279999,2027200,ZTS
2018-03-05,81.010002,82.570000,80.699997,81.889999,2148500,ZTS
2018-03-06,82.000000,82.139999,80.930000,81.510002,2102700,ZTS
2018-03-07,80.980003,81.959999,80.970001,81.760002,2878600,ZTS
2018-03-08,82.000000,82.849998,81.930000,82.540001,2458100,ZTS
2018-03-09,83.059998,85.050003,82.980003,84.519997,3028700,ZTS
2018-03-12,84.889999,84.949997,84.089996,84.410004,2316300,ZTS
2018-03-13,84.900002,85.540001,84.330002,84.589996,1911500,ZTS
2018-03-14,85.129997,85.480003,84.089996,84.349998,1794700,ZTS
2018-03-15,84.320000,85.349998,83.959999,84.690002,1659200,ZTS
2018-03-16,85.019997,85.419998,84.580002,84.599998,3151600,ZTS
2018-03-19,83.820000,84.320000,82.360001,83.150002,2417800,ZTS
2018-03-20,83.320000,84.790001,83.279999,84.660004,2653400,ZTS
2018-03-21,84.870003,85.730003,84.070000,84.099998,3305400,ZTS
2018-03-22,83.349998,84.129997,81.800003,82.059998,3224400,ZTS
2018-03-23,82.160004,82.800003,80.320000,80.599998,2608000,ZTS
2018-03-26,81.879997,83.870003,81.529999,83.730003,3089900,ZTS
