Date,Open,High,Low,Close,Volume
2018-02-08,192.839996,192.970001,185.020004,185.160004,3978700,ADBE
2018-02-09,187.330002,189.710007,179.339996,187.990005,3818800,ADBE
2018-02-12,189.000000,192.990005,188.559998,192.149994,2824700,ADBE
2018-02-13,190.850006,194.309998,190.389999,193.479996,1961300,ADBE
2018-02-14,192.479996,197.500000,191.949997,197.130005,2542400,ADBE
2018-02-15,198.970001,203.279999,197.130005,202.970001,2233300,ADBE
2018-02-16,202.520004,203.899994,200.740005,201.559998,2172600,ADBE
2018-02-20,200.460007,205.119995,199.179993,202.979996,2722700,ADBE
2018-02-21,204.449997,206.830002,202.020004,202.089996,2043500,ADBE
2018-02-22,203.070007,204.220001,201.679993,202.610001,1541500,ADBE
2018-02-23,204.220001,209.779999,203.309998,209.740005,2349300,ADBE
2018-02-26,211.289993,212.350006,209.259995,212.149994,2418700,ADBE
2018-02-27,211.990005,212.759995,208.250000,208.820007,2330800,ADBE
2018-02-28,210.690002,213.440002,209.100006,209.130005,2356900,ADBE
2018-03-01,210.320007,210.679993,204.449997,206.029999,2632200,ADBE
2018-03-02,203.960007,210.210007,201.759995,209.789993,2624700,ADBE
2018-03-05,208.750000,212.000000,206.919998,211.160004,2111800,ADBE
2018-03-06,212.440002,212.740005,209.880005,212.009995,2169000,ADBE
2018-03-07,211.330002,217.440002,211.000000,216.860001,2795100,ADBE
2018-03-08,218.029999,219.710007,214.860001,216.399994,2284400,ADBE
2018-03-09,218.000000,221.270004,217.190002,221.110001,2642300,ADBE
2018-03-12,222.970001,223.110001,220.339996,220.940002,3216900,ADBE
2018-03-13,223.000000,224.899994,218.429993,219.759995,4732000,ADBE
2018-03-14,220.750000,221.460007,217.600006,218.440002,3357600,ADBE
2018-03-15,220.000000,221.470001,218.059998,218.869995,4457000,ADBE
2018-03-16,227.179993,228.880005,224.000000,225.550003,8783000,ADBE
2018-03-19,224.479996,226.589996,218.679993,222.179993,4029300,ADBE
2018-03-20,223.190002,231.339996,223.000000,229.750000,5019300,ADBE
2018-03-21,228.759995,229.250000,225.610001,226.850006,3971800,ADBE
2018-03-22,223.860001,225.869995,220.259995,220.520004,3008700,ADBE
2018-03-23,219.520004,222.460007,214.779999,215.020004,4297200,ADBE
2018-03-26,218.830002,229.149994,218.500000,228.910004,4485400,ADBE
2018-03-27,229.899994,230.979996,212.250000,213.800003,5468100,ADBE
2018-03-28,213.720001,217.149994,209.039993,212.539993,4503200,ADBE
2018-03-29,213.350006,219.589996,210.270004,216.080002,3757400,ADBE
2018-04-02,214.809998,216.500000,207.220001,212.279999,3494900,ADBE
2018-04-03,214.779999,217.850006,212.279999,215.929993,3017800,ADBE
2018-04-04,210.710007,226.279999,210.500000,225.050003,4474400,ADBE
2018-04-05,227.940002,228.800003,221.610001,223.539993,4084900,ADBE
2018-04-06,221.889999,224.460007,216.750000,218.610001,2964500,ADBE
2018-04-09,220.080002,224.440002,218.820007,219.169998,2536100,ADBE
2018-04-10,222.610001,225.160004,221.179993,224.529999,2823200,ADBE
2018-04-11,222.929993,226.619995,222.539993,223.630005,1851100,ADBE
2018-04-12,225.720001,228.389999,225.119995,226.960007,2084100,ADBE
2018-04-13,228.850006,228.949997,222.550003,224.059998,2029300,ADBE
2018-04-16,226.080002,227.229996,222.949997,226.520004,2130700,ADBE
2018-04-17,228.559998,232.210007,228.070007,231.160004,3404400,ADBE
2018-04-18,231.699997,233.169998,228.619995,231.100006,2261600,ADBE
2018-04-19,230.110001,230.429993,226.279999,227.619995,2620100,ADBE
2018-04-20,227.000000,227.600006,223.050003,225.240005,2403700,ADBE
2018-04-23,226.389999,229.149994,224.750000,225.300003,2138000,ADBE
2018-04-24,227.000000,228.300003,215.779999,217.889999,3450800,ADBE
2018-04-25,218.160004,219.399994,213.250000,217.320007,2946100,ADBE
2018-04-26,219.770004,223.190002,218.850006,221.910004,2235900,ADBE
2018-04-27,223.080002,224.179993,219.679993,221.899994,1503100,ADBE
2018-04-30,223.270004,224.139999,219.539993,221.600006,1766300,ADBE
2018-05-01,220.770004,224.490005,219.380005,224.080002,1792900,ADBE
2018-05-02,224.300003,224.500000,220.550003,221.100006,2202900,ADBE
2018-05-03,220.009995,227.369995,218.740005,226.050003,2507900,ADBE
2018-05-04,223.889999,229.389999,223.389999,228.509995,1663700,ADBE
2018-05-07,229.539993,232.360001,229.020004,230.990005,1808300,ADBE
2018-05-08,229.740005,235.000000,228.750000,234.559998,2244600,ADBE
2018-05-09,235.000000,240.149994,233.529999,239.740005,3091600,ADBE
2018-05-10,240.460007,241.759995,238.240005,241.149994,1941400,ADBE
2018-05-11,241.029999,241.929993,238.789993,241.880005,2261700,ADBE
2018-05-14,242.000000,243.339996,237.240005,238.369995,2670800,ADBE
2018-05-15,235.639999,237.350006,233.000000,236.600006,2130100,ADBE
2018-05-16,236.589996,238.119995,235.839996,237.389999,1843700,ADBE
2018-05-17,237.320007,239.669998,234.830002,236.850006,1690600,ADBE
2018-05-18,236.240005,239.279999,235.259995,238.089996,1888200,ADBE
2018-05-21,239.850006,240.779999,237.110001,238.100006,1757900,ADBE
2018-05-22,241.149994,243.490005,237.759995,238.789993,2950200,ADBE
2018-05-23,236.320007,244.089996,236.000000,243.910004,2757600,ADBE
2018-05-24,243.789993,245.899994,240.720001,245.149994,2779600,ADBE
2018-05-25,245.000000,245.789993,242.869995,243.559998,2152900,ADBE
2018-05-29,242.990005,243.389999,240.380005,242.190002,2093400,ADBE
2018-05-30,244.399994,248.559998,244.389999,247.399994,2319300,ADBE
2018-05-31,247.110001,251.520004,246.580002,249.279999,3838400,ADBE
2018-06-01,250.550003,251.830002,248.850006,251.309998,2773200,ADBE
2018-06-04,252.850006,254.720001,251.100006,253.339996,3058700,ADBE
2018-06-05,254.000000,254.059998,251.110001,252.699997,2677400,ADBE
2018-06-06,253.750000,254.070007,251.500000,253.949997,3963600,ADBE
2018-06-07,253.240005,254.050003,244.029999,247.509995,4169200,ADBE
2018-06-08,246.860001,251.660004,245.830002,251.210007,2880600,ADBE
2018-06-11,251.759995,253.479996,250.130005,251.000000,2868200,ADBE
2018-06-12,252.649994,254.800003,251.130005,252.589996,3513300,ADBE
2018-06-13,253.699997,257.899994,253.649994,256.130005,3590700,ADBE
2018-06-14,257.149994,258.910004,256.579987,258.100006,5618300,ADBE
2018-06-15,251.279999,253.869995,247.520004,251.820007,9052800,ADBE
2018-06-18,250.520004,256.769989,249.800003,255.690002,3764300,ADBE
2018-06-19,251.830002,253.649994,247.899994,251.740005,3532500,ADBE
2018-06-20,253.500000,254.800003,250.979996,251.240005,2577500,ADBE
2018-06-21,252.000000,252.720001,247.570007,248.830002,2639700,ADBE
2018-06-22,248.110001,248.800003,243.259995,243.630005,4124500,ADBE
2018-06-25,240.149994,241.960007,235.869995,239.679993,4575400,ADBE
2018-06-26,240.669998,244.229996,239.660004,242.250000,2998300,ADBE
2018-06-27,243.460007,244.979996,237.509995,237.679993,3499500,ADBE
2018-06-28,236.589996,241.820007,236.440002,239.809998,2217200,ADBE
2018-06-29,241.880005,245.490005,241.500000,243.809998,3774700,ADBE
2018-07-02,241.050003,243.330002,239.600006,243.259995,4127400,ADBE
2018-07-03,244.720001,245.940002,241.669998,242.009995,1307700,ADBE
2018-07-05,243.039993,244.619995,242.139999,244.179993,1863400,ADBE
2018-07-06,244.479996,248.720001,243.220001,248.190002,1889700,ADBE
2018-07-09,249.899994,250.660004,246.369995,249.770004,2170700,ADBE
2018-07-10,250.470001,250.850006,248.210007,248.630005,2012400,ADBE
2018-07-11,246.649994,249.740005,245.850006,248.119995,1730600,ADBE
2018-07-12,249.940002,255.050003,249.380005,254.869995,2761600,ADBE
2018-07-13,254.639999,259.510010,253.490005,258.589996,3934100,ADBE
2018-07-16,258.630005,259.040009,253.830002,254.679993,2165100,ADBE
2018-07-17,252.679993,258.679993,250.710007,258.309998,2552000,ADBE
2018-07-18,257.859985,260.940002,256.540009,259.779999,2637000,ADBE
2018-07-19,258.000000,259.600006,256.359985,257.679993,1980200,ADBE
2018-07-20,258.170013,259.450012,256.739990,257.540009,2221800,ADBE
2018-07-23,257.660004,260.140015,256.380005,259.470001,1935700,ADBE
2018-07-24,261.040009,262.730011,255.929993,257.489990,2433300,ADBE
2018-07-25,258.350006,263.500000,257.829987,263.170013,2270300,ADBE
2018-07-26,261.920013,263.829987,258.489990,261.929993,2265800,ADBE
2018-07-27,262.049988,262.859985,253.050003,254.809998,3030900,ADBE
2018-07-30,254.419998,254.759995,240.100006,242.320007,5496800,ADBE
2018-07-31,244.929993,246.800003,241.160004,244.679993,2939500,ADBE
2018-08-01,245.000000,248.759995,244.240005,248.009995,3185000,ADBE
2018-08-02,245.699997,252.570007,245.000000,252.220001,2395400,ADBE
2018-08-03,252.580002,254.389999,249.479996,253.279999,2100300,ADBE
2018-08-06,252.740005,254.880005,251.539993,254.110001,1535300,ADBE
2018-08-07,254.500000,255.160004,252.449997,253.389999,1885400,ADBE
2018-08-08,252.949997,254.570007,251.630005,253.830002,1585400,ADBE
2018-08-09,254.550003,255.750000,253.389999,253.800003,2092000,ADBE
2018-08-10,252.000000,254.970001,251.500000,253.699997,1789000,ADBE
2018-08-13,254.160004,256.600006,253.300003,253.539993,1532700,ADBE
2018-08-14,254.380005,256.250000,252.089996,256.049988,2100300,ADBE
2018-08-15,253.800003,255.830002,248.020004,250.520004,2744700,ADBE
2018-08-16,252.789993,253.300003,248.100006,248.889999,2420400,ADBE
2018-08-17,248.389999,249.220001,243.710007,245.699997,2744200,ADBE
2018-08-20,246.080002,250.369995,246.000000,249.759995,2901300,ADBE
2018-08-21,250.449997,253.330002,250.360001,251.500000,2168900,ADBE
2018-08-22,250.589996,256.160004,250.360001,255.539993,1895400,ADBE
2018-08-23,254.619995,258.329987,254.470001,257.000000,2984300,ADBE
2018-08-24,258.329987,263.390015,258.329987,261.510010,3862300,ADBE
2018-08-27,263.000000,263.700012,259.390015,262.399994,2433000,ADBE
2018-08-28,263.700012,263.700012,261.029999,263.040009,1867100,ADBE
2018-08-29,263.000000,269.959991,262.559998,268.359985,3155200,ADBE
2018-08-30,266.720001,269.049988,265.500000,266.429993,2409300,ADBE
2018-08-31,265.549988,266.829987,263.200012,263.510010,2944500,ADBE
2018-09-04,263.670013,266.929993,262.299988,266.679993,2158200,ADBE
2018-09-05,265.609985,266.160004,254.539993,256.140015,4203300,ADBE
2018-09-06,256.950012,260.269989,255.139999,259.750000,2810800,ADBE
2018-09-07,258.000000,263.670013,257.119995,260.869995,2894300,ADBE
2018-09-10,264.269989,265.929993,260.790009,265.369995,2633600,ADBE
2018-09-11,265.299988,268.600006,263.309998,267.000000,2866000,ADBE
2018-09-12,267.829987,270.940002,266.450012,267.790009,3365400,ADBE
2018-09-13,267.130005,270.000000,265.010010,268.519989,4774000,ADBE
2018-09-14,269.000000,277.609985,268.000000,274.690002,6182500,ADBE
2018-09-17,275.000000,275.779999,267.679993,268.250000,3080900,ADBE
2018-09-18,267.609985,273.779999,266.600006,270.790009,2684400,ADBE
2018-09-19,271.140015,271.950012,263.609985,264.880005,2801400,ADBE
2018-09-20,266.470001,269.540009,264.190002,266.339996,2560200,ADBE
2018-09-21,266.149994,267.500000,260.239990,260.880005,6186500,ADBE
2018-09-24,260.000000,264.459991,257.070007,264.089996,2619100,ADBE
2018-09-25,264.600006,268.429993,264.200012,267.839996,2298000,ADBE
2018-09-26,268.559998,270.679993,266.660004,268.470001,2027700,ADBE
2018-09-27,270.000000,272.420013,269.250000,269.910004,1735200,ADBE
2018-09-28,269.750000,272.260010,268.440002,269.950012,2784500,ADBE
2018-10-01,271.760010,276.630005,271.459991,275.489990,3553100,ADBE
2018-10-02,274.709991,277.029999,271.850006,272.000000,3254400,ADBE
2018-10-03,273.250000,274.170013,269.760010,270.510010,2726400,ADBE
2018-10-04,269.500000,271.070007,260.540009,263.709991,3780300,ADBE
2018-10-05,263.959991,266.100006,258.309998,263.220001,3098600,ADBE
2018-10-08,261.839996,263.459991,248.690002,254.690002,5109200,ADBE
2018-10-09,254.160004,258.720001,251.710007,254.160004,2597500,ADBE
2018-10-10,252.520004,253.380005,237.860001,237.910004,5309300,ADBE
2018-10-11,236.410004,245.720001,234.720001,238.589996,7042900,ADBE
2018-10-12,247.740005,249.910004,242.779999,248.869995,4779900,ADBE
2018-10-15,248.339996,248.369995,238.000000,238.009995,5106400,ADBE
2018-10-16,252.500000,261.730011,251.770004,260.670013,8679600,ADBE
2018-10-17,261.209991,261.890015,255.259995,258.910004,4405100,ADBE
2018-10-18,256.190002,257.209991,246.009995,250.350006,5378900,ADBE
2018-10-19,252.729996,252.889999,243.639999,245.029999,4070600,ADBE
2018-10-22,246.000000,251.639999,242.800003,251.059998,3487000,ADBE
