Date,Open,High,Low,Close,Volume,Code
2018-02-08,58.770000,58.830002,56.220001,56.270000,6874500,ABT
2018-02-09,56.630001,57.689999,55.580002,57.169998,8028400,ABT
2018-02-12,57.700001,57.980000,56.880001,57.410000,8234200,ABT
2018-02-13,57.139999,57.790001,56.810001,57.639999,5816600,ABT
2018-02-14,57.320000,58.400002,57.150002,58.279999,3728900,ABT
2018-02-15,58.720001,59.509998,58.330002,59.500000,3871900,ABT
2018-02-16,59.439999,60.540001,59.330002,60.169998,7849200,ABT
2018-02-20,59.680000,59.869999,58.840000,59.119999,8182500,ABT
2018-02-21,59.070000,59.990002,58.820000,58.990002,4793800,ABT
2018-02-22,59.209999,59.400002,58.799999,58.990002,5539900,ABT
2018-02-23,59.220001,59.740002,58.980000,59.709999,5190400,ABT
2018-02-26,59.860001,60.590000,59.730000,60.529999,5364200,ABT
2018-02-27,60.750000,61.240002,60.389999,60.549999,6747700,ABT
2018-02-28,60.669998,61.119999,60.180000,60.330002,8325700,ABT
2018-03-01,60.160000,60.180000,58.529999,58.790001,9711900,ABT
2018-03-02,58.480000,59.529999,58.430000,59.459999,7979200,ABT
2018-03-05,58.910000,60.630001,58.900002,60.369999,9000400,ABT
2018-03-06,60.590000,61.020000,60.110001,60.880001,6620000,ABT
2018-03-07,60.270000,61.419998,60.189999,61.290001,7726500,ABT
2018-03-08,61.340000,61.950001,61.299999,61.869999,5245800,ABT
2018-03-09,62.049999,63.700001,62.020000,63.599998,8184400,ABT
2018-03-12,63.590000,63.950001,63.419998,63.619999,8858500,ABT
2018-03-13,63.889999,63.950001,63.009998,63.200001,6428500,ABT
2018-03-14,63.419998,63.619999,62.730000,62.860001,5162100,ABT
2018-03-15,63.049999,63.130001,62.520000,62.590000,3364900,ABT
2018-03-16,62.779999,63.320000,62.709999,63.180000,11840900,ABT
2018-03-19,63.130001,63.240002,61.689999,62.259998,5286200,ABT
2018-03-20,62.480000,62.759998,62.150002,62.650002,3943000,ABT
2018-03-21,62.750000,63.070000,62.340000,62.419998,3478300,ABT
2018-03-22,61.820000,62.099998,60.849998,60.930000,5345300,ABT
2018-03-23,61.029999,61.099998,59.360001,59.500000,6000800,ABT
2018-03-26,60.279999,61.150002,59.680000,61.070000,5694700,ABT
2018-03-27,61.270000,61.619999,59.990002,60.279999,6365300,ABT
2018-03-28,60.529999,60.709999,59.180000,59.230000,8128800,ABT
2018-03-29,59.570000,60.380001,59.299999,59.919998,6656600,ABT
2018-04-02,59.820000,60.090000,57.630001,58.209999,6686500,ABT
2018-04-03,58.400002,59.070000,58.000000,59.000000,6113500,ABT
2018-04-04,58.340000,59.610001,57.450001,59.459999,7405200,ABT
2018-04-05,59.900002,60.150002,59.549999,59.860001,6644500,ABT
2018-04-06,59.439999,59.599998,56.990002,57.570000,7447100,ABT
2018-04-09,57.860001,59.110001,57.450001,58.220001,5712300,ABT
2018-04-10,59.020000,59.610001,58.709999,59.139999,5178400,ABT
2018-04-11,58.639999,59.049999,58.209999,58.450001,4044900,ABT
2018-04-12,58.500000,59.180000,58.459999,58.830002,4572300,ABT
2018-04-13,59.180000,59.380001,58.470001,58.490002,8223700,ABT
2018-04-16,59.000000,59.529999,58.919998,59.270000,6807500,ABT
2018-04-17,59.650002,59.959999,59.049999,59.799999,5604600,ABT
2018-04-18,59.000000,59.619999,57.450001,59.520000,12648500,ABT
2018-04-19,59.520000,60.029999,59.200001,59.880001,7675500,ABT
2018-04-20,59.849998,59.950001,58.820000,59.189999,5867500,ABT
2018-04-23,59.279999,59.459999,58.590000,58.840000,4516100,ABT
2018-04-24,59.090000,59.169998,57.669998,58.310001,7480300,ABT
2018-04-25,58.040001,58.669998,57.700001,58.650002,5910000,ABT
2018-04-26,58.689999,59.520000,58.500000,59.500000,7372800,ABT
2018-04-27,59.490002,59.689999,59.139999,59.560001,4135400,ABT
2018-04-30,59.759998,59.799999,58.099998,58.130001,6096100,ABT
2018-05-01,57.700001,58.869999,57.549999,58.820000,6406400,ABT
2018-05-02,58.490002,58.560001,57.669998,57.849998,4519900,ABT
2018-05-03,57.790001,57.939999,56.810001,57.930000,5641000,ABT
2018-05-04,57.639999,59.080002,57.480000,58.740002,5833200,ABT
2018-05-07,58.990002,59.759998,58.939999,59.320000,5656100,ABT
2018-05-08,59.119999,59.130001,58.240002,58.709999,6778500,ABT
2018-05-09,58.810001,59.580002,58.419998,59.400002,4103400,ABT
2018-05-10,59.630001,60.610001,59.360001,60.560001,4791100,ABT
